Article,Text
Article 10.42,"(d) a federation or an association having the legal standing and authority to assert those rights, in so far as permitted by, and in accordance with, the provisions of the applicable law."
Article 10.42,"Civil measures, procedures and remedies"
Article 10.43,"Each Party shall take such measures as necessary, in the case of an infringement of an intellectual property right committed on a commercial scale, to enable the competent judicial authorities to order, where appropriate and following a party’s application, the submission of banking, financial or commercial documents under the control of the opposing party, subject to the protection of confidential information."
Article 10.44,Provisional measures for preserving evidence
Article 10.44,"1. Each Party shall ensure that, even before the commencement of proceedings on the merits of the case, the competent judicial authorities may, on application by a party who has presented reasonably available evidence to support its claims that its intellectual property right has been infringed or is about to be infringed, order prompt and effective provisional measures to preserve relevant evidence in respect of the alleged infringement, subject to the protection of confidential information."
Article 10.44,"2. Each Party may provide that such measures include the detailed description, with or without the taking of samples, or the physical seizure of the infringing goods, and in appropriate cases, the materials and implements used in the production or distribution of these goods and the documents relating thereto. Those measures shall be taken, if necessary without the other party being heard, in particular where any delay is likely to cause irreparable harm to the right holder or where there is a demonstrable risk of evidence being destroyed."
Article 10.45,"1. Each Party shall ensure that, during civil proceedings concerning an infringement of an intellectual property right and in response to a justified and proportionate request of the claimant, the competent judicial authorities may order the infringer and/or any other person which is party to a litigation or a witness therein to provide information on the origin and distribution networks of the goods or services which infringe an intellectual property right."
Article 10.45,"(a) ""Any other person"" in this paragraph means a person who:"
Article 10.45,(i) was found in possession of the infringing goods on a commercial scale;
Article 10.45,(ii) was found to be using the infringing services on a commercial scale;
Article 10.45,(iii) was found to be providing on a commercial scale services used in infringing activities; or
Article 10.45,"(iv) was indicated by the person referred to in this subparagraph as being involved in the production, manufacture or distribution of the goods or the provision of the services."
Article 10.45,"(b) Information shall, as appropriate, comprise:"
Article 10.45,"(i) the names and addresses of the producers, manufacturers, distributors, suppliers and other previous holders of the goods or services, as well as the intended wholesalers and retailers; or"
Article 10.45,"(ii) information on the quantities produced, manufactured, delivered, received or ordered, as well as the price obtained for the goods or services in question."
Article 10.46,Provisional and precautionary measures
Article 10.46,"1. Each Party shall ensure that the judicial authorities may, at the request of the applicant, issue an interlocutory injunction intended to prevent any imminent infringement of an intellectual property right, to forbid, on a provisional basis and subject, where appropriate, to a recurring penalty payment where provided for by its legislation, the continuation of the alleged infringements of that right, or to make such continuation subject to the lodging of guarantees intended to ensure the compensation of the right holder. An interlocutory injunction may also be issued against an intermediary [69] whose services are being used by a third party to infringe copyright, related rights, trademarks or geographical indications."
Article 10.46,2. An interlocutory injunction may also be issued to order the seizure of the goods suspected of infringing an intellectual property right so as to prevent their entry into or movement within the channels of commerce.
Article 10.46,"3. In the case of an infringement committed on a commercial scale, each Party shall ensure that, if the applicant demonstrates circumstances likely to endanger the recovery of damages, the judicial authorities may order the precautionary seizure of the movable and immovable property of the alleged infringer, including the blocking of bank accounts and other assets."
Article 10.47,"1. Each Party shall ensure that the competent judicial authorities may order, at the request of the applicant and without prejudice to any damages to the right holder by reason of the infringement, and without compensation of any sort, destruction of goods that they have found to be infringing an intellectual property right or any other measures to definitively remove those goods from the channels of commerce. If appropriate, the competent judicial authorities may also order destruction of materials and implements principally used in the creation or manufacture of those goods."
Article 10.47,"2. The judicial authorities shall order that those measures be carried out at the expense of the infringer, unless particular reasons are invoked for not doing so."
Article 10.47,"3. In considering a request for corrective measures, the need for proportionality between the seriousness of the infringement and the remedies ordered as well as the interests of third parties shall be taken into account."
Article 10.48,"1. Each Party shall ensure that, where a judicial decision is taken finding an infringement of an intellectual property right, the judicial authorities may issue against the infringer an injunction aimed at prohibiting the continuation of the infringement."
Article 10.48,"2. Where provided for by law, non-compliance with an injunction shall, where appropriate, be subject to a recurring penalty payment, with a view to ensuring compliance. Each Party shall also ensure that right holders are in a position to apply for an injunction against intermediaries [70] whose services are being used by a third party to infringe copyright, related rights, trademarks or geographical indications."
Article 10.50,1. Each Party shall ensure that when the judicial authorities set damages:
Article 10.50,"(a) they shall take into account all appropriate aspects, such as the negative economic consequences, including lost profits, which the injured party has suffered, any unfair profits made by the infringer and, in appropriate cases, elements other than economic factors, such as the moral prejudice caused to the right holder by the infringement; or"
Article 10.50,"(b) as an alternative to subparagraph (a), they may, in appropriate cases, set the damages as a lump sum on the basis of elements such as at least the amount of royalties or fees which would have been due if the infringer had requested authorisation to use the intellectual property right in question."
Article 10.50,"2. Where the infringer did not knowingly, or with reasonable grounds to know, engage in infringing activity, the Parties may provide that the judicial authorities may order the recovery of profits or the payment of damages which may be pre-established."
Article 10.50,"3. In civil judicial proceedings, each Party, at least with respect to works, phonograms, and performances protected by copyright or related rights, and in cases of trademark counterfeiting, may establish or maintain pre-established damages, which shall be available on the election of the right holder."
Article 10.51,"Each Party shall ensure that reasonable and proportionate legal costs and other expenses incurred by the successful party shall as a general rule be borne by the unsuccessful party, unless equity does not allow as such."
Article 10.52,Publication of judicial decisions
Article 10.52,"In cases of infringement of an intellectual property right, each Party shall ensure that the judicial authorities may order, where appropriate, at the request of the applicant and at the expense of the infringer, appropriate measures for the dissemination of the information concerning the decision, including displaying the decision and publishing it in full or in part. Each Party may provide for other additional publicity measures which are appropriate to the particular circumstances, including prominent advertising."
Article 10.53,Presumption of authorship or ownership
Article 10.53,"In civil proceedings involving copyright or related rights, each Party shall provide for a presumption that, in the absence of proof to the contrary, the person or entity whose name is indicated as the author or related right holder of the work or subject matter in the usual manner is the designated right holder in such work or subject matter."
Article 10.54,Each Party shall provide for criminal procedures and penalties to be applied at least in cases of wilful trademark counterfeiting and copyright and related rights [71] piracy on a commercial scale.
Article 10.55,Geographical indications and designs counterfeiting
Article 10.55,"Subject to its national or constitutional law and regulations, each Party shall consider adopting measures to establish the criminal liability for counterfeiting geographical indications and designs."
Article 10.61,Each Party shall ensure that the rights of third parties shall be duly protected and guaranteed.
Article 10.61,Liability of online service providers
Article 10.62,Liability of online service providers [72]
Article 10.63,"Liability of online service providers: ""mere conduit"""
Article 10.63,"1. Where an information society service is provided that consists of the transmission in a communication network of information provided by a recipient of the service, or the provision of access to a communication network, the Parties shall ensure that the service provider is not liable for the information transmitted, on condition that the provider:"
Article 10.63,(a) does not initiate the transmission;
Article 10.63,(b) does not select the receiver of the transmission; and
Article 10.63,(c) does not select or modify the information contained in the transmission.
Article 10.63,"2. The acts of transmission and of provision of access referred to in paragraph 1 include the automatic, intermediate and transient storage of the information transmitted in so far as such storage takes place for the sole purpose of carrying out the transmission in the communication network, and provided that the information is not stored for any period longer than is reasonably necessary for the transmission."
Article 10.64,"Liability of online service providers: ""caching"""
Article 10.64,"1. Where an information society service is provided that consists of the transmission in a communication network of information provided by a recipient of the service, the Parties shall ensure that the service provider is not liable for the automatic, intermediate and temporary storage of that information, performed for the sole purpose of making more efficient the information’s onward transmission to other recipients of the service upon their request, on condition that the provider:"
Article 10.64,(a) does not modify the information;
Article 10.64,(b) complies with conditions on access to the information;
Article 10.64,"(c) complies with rules regarding updating of the information, specified in a manner widely recognised and used by industry;"
Article 10.64,"(d) does not interfere with the lawful use of technology, widely recognised and used by industry, to obtain data on the use of the information; and"
Article 10.64,"(e) acts expeditiously to remove or to disable access to the information it has stored upon obtaining actual knowledge of the fact that the information at the initial source of the transmission has been removed from the network, or access to it has been disabled, or that a judicial or an administrative authority has ordered such removal or disablement."
Article 10.65,"Liability of online service providers: ""hosting"""
Article 10.65,"1. Where an information society service is provided that consists of the storage of information provided by a recipient of the service, the Parties shall ensure that the service provider is not liable for the information stored at the request of a recipient of the service, on condition that the provider:"
Article 10.65,"(a) does not have actual knowledge of illegal activity or information and, as regards claims for damages, is not aware of facts or circumstances from which the illegal activity or information is apparent; or"
Article 10.65,(b) upon obtaining such knowledge or awareness acts expeditiously to remove or to disable access to the information.
Article 10.65,2. Paragraph 1 shall not apply when the recipient of the service is acting under the authority or the control of the provider.
Article 10.66,No general obligation to monitor
Article 10.67,"1. Each Party shall, unless otherwise provided for in this Section, adopt procedures [73] to enable a right holder, who has valid grounds for suspecting that the importation, exportation, re-exportation, customs transit, transhipment, placement under a free zone [74], placement under a suspensive procedure [75] or a bonded warehouse of goods infringing an intellectual property right [76] may take place, to lodge an application in writing with competent authorities, administrative or judicial, for the suspension by the customs authorities of the release into free circulation or the detention of such goods."
Article 10.67,"2. The Parties shall provide that when the customs authorities, in the course of their actions and before an application has been lodged by a right holder or granted, have sufficient grounds for suspecting that goods infringe an intellectual property right, they may suspend the release of the goods or detain them in order to enable the right holder to submit an application for action in accordance with the paragraph 1."
Article 10.67,3. Any rights or obligations established in the implementation of Section 4 of Part III of the TRIPS Agreement concerning the importer shall also be applicable to the exporter or if necessary to the holder [77] of the goods.
Article 10.67,4. Korea shall fully implement the obligation under paragraphs 1 and 2 with respect to subparagraph (c)(i) and (c)(iii) of footnote 27 within two years of the entry into force of this Agreement.
Article 10.68,"(a) the development by trade or professional associations or organisations of codes of conduct aimed at contributing towards the enforcement of intellectual property rights, particularly by recommending the use on optical discs of a code enabling the identification of the origin of their manufacture; and"
Article 10.68,(b) the submission to the competent authorities of the Parties of draft codes of conduct and of any evaluations of the application of these codes of conduct.
Article 10.69,"1. The Parties agree to cooperate with a view to supporting implementation of the commitments and obligations undertaken under this Chapter. Areas of cooperation include, but are not limited to, the following activities:"
Article 10.69,(a) exchange of information on the legal framework concerning intellectual property rights and relevant rules of protection and enforcement; exchange of experiences on legislative progress;
Article 10.69,(b) exchange of experiences on enforcement of intellectual property rights;
Article 10.69,"(c) exchange of experiences on enforcement at central and sub-central level by customs, police, administrative and judiciary bodies; coordination to prevent exports of counterfeit goods, including with other countries;"
Article 10.69,"(e) promotion and dissemination of information on intellectual property rights in, inter alia, business circles and civil society; promotion of public awareness of consumers and right holders."
Article 10.69,"2. Without prejudice and as a complement to paragraph 1, the European Union and Korea agree to establish and maintain an effective dialogue on intellectual property issues (IP Dialogue) to address topics relevant to the protection and enforcement of intellectual property rights covered by this Chapter, and any other relevant issue."
Article 11.1,"1. The Parties recognise the importance of free and undistorted competition in their trade relations. The Parties undertake to apply their respective competition laws so as to prevent the benefits of the trade liberalisation process in goods, services and establishment from being removed or eliminated by anti-competitive business conduct or anti-competitive transactions."
Article 11.1,"2. The Parties shall maintain in their respective territories comprehensive competition laws which effectively address restrictive agreements, concerted practices [78] and abuse of dominance by one or more enterprises, and which provide effective control of concentrations between enterprises."
Article 11.1,"3. The Parties agree that the following activities restricting competition are incompatible with the proper functioning of this Agreement, in so far as they may affect trade between them:"
Article 11.1,"(a) agreements between enterprises, decisions by associations of enterprises and concerted practices, which have as their object or effect the prevention, restriction or distortion of competition in the territory of either Party as a whole or in a substantial part thereof;"
Article 11.1,(b) any abuse by one or more enterprises of a dominant position in the territory of either Party as a whole or in a substantial part thereof; or
Article 11.1,"(c) concentrations between enterprises, which significantly impede effective competition, in particular as a result of the creation or strengthening of a dominant position in the territory of either Party as a whole or in a substantial part thereof."
Article 11.2,"For the purposes of this Section, competition laws means:"
Article 11.4,Public enterprises and enterprises entrusted with special rights [79] or exclusive rights
Article 11.4,1. With respect to public enterprises and enterprises entrusted with special rights or exclusive rights:
Article 11.5,1. Each Party shall adjust state monopolies of a commercial character so as to ensure that no discriminatory measure [80] regarding the conditions under which goods are procured and marketed exists between natural or legal persons of the Parties.
Article 11.5,2. Nothing in paragraph 1 shall be construed to prevent a Party from establishing or maintaining a state monopoly.
Article 11.6,1. The Parties recognise the importance of cooperation and coordination between their respective competition authorities to further enhance effective competition law enforcement and to fulfil the objectives of this Agreement through the promotion of competition and the curtailment of anti-competitive business conduct or anti-competitive transactions.
Article 11.6,"2. The Parties shall cooperate in relation to their respective enforcement policies and in the enforcement of their respective competition laws, including through enforcement cooperation, notification, consultation and exchange of non-confidential information based on the Agreement between the European Community and the Government of the Republic of Korea concerning cooperation on anti-competitive activities signed on 23 May 2009."
Article 11.8,Neither Party may have recourse to Chapter Fourteen (Dispute Settlement) for any matter arising under this Section.
Article 11.9,"The Parties agree to use their best endeavours to remedy or remove through the application of their competition laws or otherwise, distortions of competition caused by subsidies in so far as they affect international trade, and to prevent the occurrence of such situations."
Article 11.10,Definitions of a subsidy and specificity
Article 11.11,"Prohibited subsidies [81], [82]"
Article 11.12,"1. Each Party shall ensure transparency in the area of subsidies. To this end, each Party shall report annually to the other Party on the total amount, types and the sectoral distribution of subsidies which are specific and may affect international trade. Reporting should contain information concerning the objective, form, the amount or budget and where possible the recipient of the subsidy granted by a government or any public body."
Article 11.12,"2. Such report is deemed to have been provided if it is sent to the other Party, or if the relevant information is made available on a publicly accessible Internet website, by 31 December of the subsequent calendar year."
Article 11.12,"3. Upon request by a Party, the other Party shall provide further information on any subsidy schemes and particular individual cases of subsidy which is specific. The Parties shall exchange this information, taking into account the limitations imposed by the requirements of professional and business secrecy."
Article 11.13,Relation with the WTO Agreement
Article 11.13,The provisions in this Section are without prejudice to the rights of a Party in accordance with the relevant provisions of the WTO Agreement to apply trade remedies or to take dispute settlement or other appropriate action against a subsidy granted by the other Party.
Article 11.14,"The Parties shall keep under constant review the matters to which reference is made in this Section. Each Party may refer such matters to the Trade Committee. The Parties agree to review progress in implementing this Section every two years after the entry into force of this Agreement, unless both Parties agree otherwise."
Article 12.1,For the purposes of this Chapter:
Article 12.1,"measure of general application means any general or abstract act, procedure, interpretation or other requirement, including non-binding measures. It does not include a ruling that applies to a particular person; and"
Article 12.2,"Recognising the impact which their respective regulatory environment may have on trade between them, the Parties shall pursue an efficient and predictable regulatory environment for economic operators, especially small ones doing business in their territories. The Parties, reaffirming their respective commitments under the WTO Agreement, hereby lay down clarifications and improved arrangements for transparency, consultation and better administration of measures of general application, in so far as these may have an impact on any matter covered by this Agreement."
Article 12.3,1. Each Party shall ensure that measures of general application that may have an impact on any matter covered by this Agreement:
Article 12.3,"(a) are readily available to interested persons, in a non-discriminatory manner, via an officially designated medium, and where feasible and possible, electronic means, in such a manner as to enable interested persons and the other Party to become acquainted with them;"
Article 12.3,"(b) provide an explanation of the objective of, and rationale for, such measures; and"
Article 12.3,"(c) allow for sufficient time between publication and entry into force of such measures, taking due account of the requirements of legal certainty, legitimate expectations and proportionality."
Article 12.3,"(a) endeavour to publish in advance any measure of general application that it proposes to adopt or to amend, including an explanation of the objective of, and rationale for the proposal;"
Article 12.3,"(b) provide reasonable opportunities for interested persons to comment on such proposed measure, allowing, in particular, for sufficient time for such opportunities; and"
Article 12.3,(c) endeavour to take into account the comments received from interested persons with respect to such proposed measure.
Article 12.4,"1. Each Party shall establish or maintain appropriate mechanisms for responding to enquiries from any interested person regarding any measures of general application which may have an impact on matters covered by this Agreement which are proposed or in force, and how they would be applied. Enquiries may be addressed through enquiry or contact points established under this Agreement or any other mechanism as appropriate."
Article 12.4,"2. The Parties recognise that such response provided for in paragraph 1 may not be definitive or legally binding but for information purposes only, unless otherwise provided for in their laws and regulations."
Article 12.4,"3. Upon request of a Party, the other Party shall promptly provide information and respond to questions pertaining to any actual or proposed measure of general application that the requesting Party considers might affect the operation of this Agreement, regardless of whether the requesting Party has been previously notified of that measure."
Article 12.4,"4. Each Party shall endeavour to identify or create enquiry or contact points for interested persons of the other Party with the task of seeking to effectively resolve problems for them that may arise from the application of measures of general application. Such processes should be easily accessible, time-bound, result-oriented and transparent. They shall be without prejudice to any appeal or review procedures which the Parties establish or maintain. They shall also be without prejudice to the Parties’ rights and obligations under Chapter Fourteen (Dispute Settlement) and Annex 14-A (Mediation Mechanism for Non-Tariff Measures)."
Article 12.5,"With a view to administering in a consistent, impartial and reasonable manner all measures of general application which may have an impact on matters covered by this Agreement, each Party in applying such measures to particular persons, goods or services of the other Party in specific cases, shall:"
Article 12.5,"(a) endeavour to provide interested persons of the other Party, who are directly affected by a proceeding, with reasonable notice, in accordance with its procedures, when a proceeding is initiated, including a description of the nature of the proceeding, a statement of the legal authority under which the proceeding is initiated and a general description of any issues in controversy;"
Article 12.5,"(b) afford such interested persons a reasonable opportunity to present facts and arguments in support of their positions prior to any final administrative action, in so far as time, the nature of the proceeding and the public interest permit; and"
Article 12.5,"(c) ensure that its procedures are based on, and in accordance with its law."
Article 12.6,"1. Each Party shall establish or maintain judicial, quasi-judicial or administrative tribunals or procedures for the purposes of the prompt review and, where warranted, correction of administrative action relating to matters covered by this Agreement. Such tribunals shall be impartial and independent of the office or authority entrusted with administrative enforcement and shall not have any substantial interest in the outcome of the matter."
Article 12.6,"2. Each Party shall ensure that, in any such tribunals or procedures, the parties to the proceeding are provided with the right to:"
Article 12.6,(a) a reasonable opportunity to support or defend their respective positions; and
Article 12.6,"(b) a decision based on the evidence and submissions of record or, where required by its law, the record compiled by the administrative authority."
Article 12.6,"3. Each Party shall ensure, subject to appeal or further review as provided for in its law, that such decision shall be implemented by, and shall govern the practice of, the office or authority with respect to the administrative action at issue."
Article 12.7,Regulatory quality and performance and good administrative behaviour
Article 12.7,"1. The Parties agree to cooperate in promoting regulatory quality and performance, including through exchange of information and best practices on their respective regulatory reform processes and regulatory impact assessments."
Article 12.7,"2. The Parties subscribe to the principles of good administrative behaviour, and agree to cooperate in promoting it, including through exchange of information and best practices."
Article 12.8,"Each Party shall apply to interested persons of the other Party transparency standards no less favourable than those accorded to its own interested persons, to the interested persons of any third country, or to any third country, whichever are the best."
Article 12.8,TRADE AND SUSTAINABLE DEVELOPMENT
Article 13.1,"1. Recalling Agenda 21 on Environment and Development of 1992, the Johannesburg Plan of Implementation on Sustainable Development of 2002 and the 2006 Ministerial Declaration of the UN Economic and Social Council on Full Employment and Decent Work, the Parties reaffirm their commitments to promoting the development of international trade in such a way as to contribute to the objective of sustainable development and will strive to ensure that this objective is integrated and reflected at every level of their trade relationship."
Article 13.1,"2. The Parties recognise that economic development, social development and environmental protection are interdependent and mutually reinforcing components of sustainable development. They underline the benefit of cooperation on trade-related social and environmental issues as part of a global approach to trade and sustainable development."
Article 13.1,"3. The Parties recognise that it is not their intention in this Chapter to harmonise the labour or environment standards of the Parties, but to strengthen their trade relations and cooperation in ways that promote sustainable development in the context of paragraphs 1 and 2."
Article 13.3,Right to regulate and levels of protection
Article 13.4,Multilateral labour standards and agreements
Article 13.4,"1. The Parties recognise the value of international cooperation and agreements on employment and labour affairs as a response of the international community to economic, employment and social challenges and opportunities resulting from globalisation. They commit to consulting and cooperating as appropriate on trade-related labour and employment issues of mutual interest."
Article 13.4,"2. The Parties reaffirm the commitment, under the 2006 Ministerial Declaration of the UN Economic and Social Council on Full Employment and Decent Work, to recognising full and productive employment and decent work for all as a key element of sustainable development for all countries and as a priority objective of international cooperation and to promoting the development of international trade in a way that is conducive to full and productive employment and decent work for all, including men, women and young people."
Article 13.4,"3. The Parties, in accordance with the obligations deriving from membership of the ILO and the ILO Declaration on Fundamental Principles and Rights at Work and its Follow-up, adopted by the International Labour Conference at its 86th Session in 1998, commit to respecting, promoting and realising, in their laws and practices, the principles concerning the fundamental rights, namely:"
Article 13.4,(a) freedom of association and the effective recognition of the right to collective bargaining;
Article 13.4,(b) the elimination of all forms of forced or compulsory labour;
Article 13.4,(c) the effective abolition of child labour; and
Article 13.4,(d) the elimination of discrimination in respect of employment and occupation.
Article 13.4,"The Parties reaffirm the commitment to effectively implementing the ILO Conventions that Korea and the Member States of the European Union have ratified respectively. The Parties will make continued and sustained efforts towards ratifying the fundamental ILO Conventions as well as the other Conventions that are classified as ""up-to-date"" by the ILO."
Article 13.5,Multilateral environmental agreements
Article 13.5,1. The Parties recognise the value of international environmental governance and agreements as a response of the international community to global or regional environmental problems and they commit to consulting and cooperating as appropriate with respect to negotiations on trade-related environmental issues of mutual interest.
Article 13.5,2. The Parties reaffirm their commitments to the effective implementation in their laws and practices of the multilateral environmental agreements to which they are party.
Article 13.5,3. The Parties reaffirm their commitment to reaching the ultimate objective of the United Nations Framework Convention on Climate Change and its Kyoto Protocol. They commit to cooperating on the development of the future international climate change framework in accordance with the Bali Action Plan [85].
Article 13.6,Trade favouring sustainable development
Article 13.6,"1. The Parties reconfirm that trade should promote sustainable development in all its dimensions. The Parties recognise the beneficial role that core labour standards and decent work can have on economic efficiency, innovation and productivity, and they highlight the value of greater policy coherence between trade policies, on the one hand, and employment and labour policies on the other."
Article 13.6,"2. The Parties shall strive to facilitate and promote trade and foreign direct investment in environmental goods and services, including environmental technologies, sustainable renewable energy, energy efficient products and services and eco-labelled goods, including through addressing related non-tariff barriers. The Parties shall strive to facilitate and promote trade in goods that contribute to sustainable development, including goods that are the subject of schemes such as fair and ethical trade and those involving corporate social responsibility and accountability."
Article 13.7,"Upholding levels of protection in the application and enforcement of laws, regulations or standards"
Article 13.7,"1. A Party shall not fail to effectively enforce its environmental and labour laws, through a sustained or recurring course of action or inaction, in a manner affecting trade or investment between the Parties."
Article 13.7,"2. A Party shall not weaken or reduce the environmental or labour protections afforded in its laws to encourage trade or investment, by waiving or otherwise derogating from, or offering to waive or otherwise derogate from, its laws, regulations or standards, in a manner affecting trade or investment between the Parties."
Article 13.8,"The Parties recognise the importance, when preparing and implementing measures aimed at protecting the environment and social conditions that affect trade between the Parties, of taking account of scientific and technical information, and relevant international standards, guidelines or recommendations."
Article 13.9,"The Parties, in accordance with their respective domestic laws, agree to develop, introduce and implement any measures aimed at protecting the environment and labour conditions that affect trade between the Parties in a transparent manner, with due notice and public consultation, and with appropriate and timely communication to and consultation of non-state actors including the private sector."
Article 13.10,Review of sustainability impacts
Article 13.10,"The Parties commit to reviewing, monitoring and assessing the impact of the implementation of this Agreement on sustainable development, including the promotion of decent work, through their respective participative processes and institutions, as well as those set up under this Agreement, for instance through trade-related sustainability impact assessments."
Article 13.11,"Recognising the importance of cooperating on trade-related aspects of social and environmental policies in order to achieve the objectives of this Agreement, the Parties commit to initiating cooperative activities as set out in Annex 13."
Article 13.12,1. Each Party shall designate an office within its administration which shall serve as a contact point with the other Party for the purpose of implementing this Chapter.
Article 13.13,Civil society dialogue mechanism
Article 13.13,1. Members of Domestic Advisory Group(s) of each Party will meet at a Civil Society Forum in order to conduct a dialogue encompassing sustainable development aspects of trade relations between the Parties. The Civil Society Forum will meet once a year unless otherwise agreed by the Parties. The Parties shall agree by decision of the Committee on Trade and Sustainable Development on the operation of the Civil Society Forum no later than one year after the entry into force of this Agreement.
Article 14.1,"The objective of this Chapter is to avoid and settle any dispute between the Parties concerning the good faith application of this Agreement and to arrive at, where possible, a mutually agreed solution."
Article 14.2,This Chapter applies to any dispute concerning the interpretation and application of the provisions of this Agreement unless otherwise provided [86].
Article 14.4,Initiation of the arbitration procedure
Article 14.5,Establishment of the arbitration panel
Article 14.5,1. An arbitration panel shall be composed of three arbitrators.
Article 14.5,"2. Within 10 days of the date of the submission of the request for the establishment of an arbitration panel to the Trade Committee, the Parties shall consult in order to reach an agreement on the composition of the arbitration panel."
Article 14.6,"1. The arbitration panel shall issue to the Parties an interim report setting out the findings of facts, the applicability of the relevant provisions and the basic rationale behind any findings and recommendations that it makes, within 90 days of the date of establishment of the arbitration panel. Where it considers that this deadline cannot be met, the chairperson of the arbitration panel must notify the Parties and the Trade Committee in writing, stating the reasons for the delay and the date on which the panel plans to issue its interim report. Under no circumstances should the interim report be issued later than 120 days after the date of the establishment of the arbitration panel."
Article 14.6,2. Any Party may submit a written request for the arbitration panel to review precise aspects of the interim report within 14 days of its issuance.
Article 14.6,"3. In cases of urgency, including those involving perishable or seasonal goods, the arbitration panel shall make every effort to issue its interim report and any Party may submit a written request for the arbitration panel to review precise aspects of the interim report, within half of the respective time frames under paragraphs 1 and 2."
Article 14.6,"4. After considering any written comments by the Parties on the interim report, the arbitration panel may modify its report and make any further examination it considers appropriate. The final arbitration panel ruling shall include a discussion of the arguments made at the interim review stage."
Article 14.7,"1. The arbitration panel shall issue its ruling to the Parties and to the Trade Committee within 120 days of the date of the establishment of the arbitration panel. Where it considers that this deadline cannot be met, the chairperson of the arbitration panel must notify the Parties and the Trade Committee in writing, stating the reasons for the delay and the date on which the panel plans to issue its ruling. Under no circumstances should the ruling be issued later than 150 days after the date of the establishment of the arbitration panel."
Article 14.7,"2. In cases of urgency, including those involving perishable or seasonal goods, the arbitration panel shall make every effort to issue its ruling within 60 days of the date of its establishment. Under no circumstances should it take longer than 75 days after its establishment. The arbitration panel may give a preliminary ruling within 10 days of its establishment on whether it deems the case to be urgent."
Article 14.8,Compliance with the arbitration panel ruling
Article 14.8,"Each Party shall take any measure necessary to comply in good faith with the arbitration panel ruling, and the Parties will endeavour to agree on the period of time to comply with the ruling."
Article 14.9,The reasonable period of time for compliance
Article 14.9,"1. No later than 30 days after the issuance of the arbitration panel ruling to the Parties, the Party complained against shall notify the complaining Party and the Trade Committee of the time it will require for compliance."
Article 14.9,"2. If there is disagreement between the Parties on the reasonable period of time to comply with the arbitration panel ruling, the complaining Party shall, within 20 days of the notification made under paragraph 1 by the Party complained against, request in writing the original arbitration panel to determine the length of the reasonable period of time. Such request shall be notified to the other Party and to the Trade Committee. The arbitration panel shall issue its ruling to the Parties and to the Trade Committee within 20 days of the date of the submission of the request."
Article 14.10,Review of any measure taken to comply with the arbitration panel ruling
Article 14.10,1. The Party complained against shall notify the complaining Party and the Trade Committee before the end of the reasonable period of time of any measure that it has taken to comply with the arbitration panel ruling.
Article 14.11,Temporary remedies in case of non-compliance
Article 14.12,Review of any measure taken to comply after the suspension of obligations
Article 14.12,1. The Party complained against shall notify the complaining Party and the Trade Committee of any measure it has taken to comply with the ruling of the arbitration panel and of its request for the termination of the suspension of obligations applied by the complaining Party.
Article 14.13,"The Parties may reach a mutually agreed solution to a dispute under this Chapter at any time. They shall notify the Trade Committee of any such solution. Upon notification of the mutually agreed solution, the procedure shall be terminated."
Article 14.14,1. Dispute settlement procedures under this Chapter shall be governed by Annex 14-B.
Article 14.14,2. Any hearing of the arbitration panel shall be open to the public in accordance with Annex 14-B.
Article 14.15,Information and technical advice
Article 14.15,"At the request of a Party, or upon its own initiative, the arbitration panel may obtain information from any source, including the Parties involved in the dispute, as it deems appropriate for the arbitration panel proceeding. The arbitration panel also has the right to seek the relevant opinion of experts as it deems appropriate. Any information obtained in this manner must be disclosed to both Parties which may submit comments. Interested natural or legal persons of the Parties are authorised to submit amicus curiae briefs to the arbitration panel in accordance with Annex 14-B."
Article 14.17,Arbitration panel decisions and rulings
Article 14.17,"1. The arbitration panel shall make every effort to take any decision by consensus. Where, nevertheless, a decision cannot be arrived at by consensus, the matter at issue shall be decided by majority vote. In no case shall dissenting opinions of arbitrators be published."
Article 14.17,"2. Any ruling of the arbitration panel shall be binding on the Parties and shall not create any rights or obligations for natural or legal persons. The ruling shall set out the findings of fact, the applicability of the relevant provisions of this Agreement and the basic rationale behind any findings and conclusions that it makes. The Trade Committee shall make the arbitration panel rulings publicly available in its entirety unless it decides not to do so."
Article 14.18,"1. The Trade Committee shall, no later than six months after the entry into force of this Agreement, establish a list of 15 individuals who are willing and able to serve as arbitrators. Each Party shall propose five individuals to serve as arbitrators. The Parties shall also select five individuals who are not nationals of either Party and shall act as chairperson to the arbitration panel. The Trade Committee will ensure that the list is always maintained at this level."
Article 14.18,"2. Arbitrators shall have specialised knowledge or experience of law and international trade. They shall be independent, serve in their individual capacities and not take instructions from any organisation or government with regard to matters related to the dispute, or be affiliated with the government of any Party, and shall comply with Annex 14-C."
Article 14.19,"1. Recourse to the dispute settlement provisions of this Chapter shall be without prejudice to any action in the WTO framework, including dispute settlement action."
Article 14.19,"2. However, where a Party has, with regard to a particular measure, initiated a dispute settlement proceeding, either under this Chapter or under the WTO Agreement, it may not institute a dispute settlement proceeding regarding the same measure in the other forum until the first proceeding has been concluded. In addition, a Party shall not seek redress of an obligation which is identical under this Agreement and under the WTO Agreement in the two forums. In such case, once a dispute settlement proceeding has been initiated, the Party shall not bring a claim seeking redress of the identical obligation under the other Agreement to the other forum, unless the forum selected fails for procedural or jurisdictional reasons to make findings on the claim seeking redress of that obligation."
